,0
921,241.148
922,241.1518
923,241.1691
924,241.1589
925,241.192
926,241.2113
927,241.2232
928,241.2032
929,241.2261
930,241.2194
931,241.1552
932,241.1117
933,241.1317
934,241.0666
935,241.0722
936,241.0397
937,241.0195
938,241.0282
939,241.0198
940,241.0048
941,241.0154
942,241.0829
943,241.0601
944,241.0338
945,240.9889
946,240.9915
947,240.9549
948,240.9715
949,240.9302
950,240.9486
951,240.967
952,240.9596
953,240.892
954,240.9063
955,240.8418
956,240.83599999999998
957,240.8318
958,240.8287
959,240.8122
960,240.7927
961,240.7606
962,240.7511
963,240.7135
964,240.6908
965,240.6505
966,240.6376
967,240.6408
968,240.6634
969,240.6313
970,240.6664
971,240.6873
972,240.6634
973,240.6978
974,240.7175
975,240.7456
976,240.7266
977,240.7501
978,240.7456
979,240.7172
980,240.7637
981,240.7041
982,240.7306
983,240.7745
984,240.771
985,240.7902
986,240.7588
987,240.7167
988,240.7285
989,240.7042
990,240.7006
991,240.6698
992,240.6886
993,240.7097
994,240.7275
995,240.7389
996,240.7774
997,240.7493
998,240.7085
999,240.6293
